Micro-catégorie,Forêt,Bosquet,Pré,Champ,Verger,Jardin,None
Bûcher sous terrasse,,,,,,,Bûcher sous terrasse
"Place, chemin",,,,,,,"Place, chemin"
"1/2 indéterminé d'une place indivise de 0.18m en totalité, l'autre part est portée sous art. 1735",,,,,,,"1/2 indéterminé d'une place indivise de 0.18m en totalité, l'autre part est portée sous art. 1735"
"Pré, bosquets",,,"Pré, bosquets",,,,
Remise,,,,,,,Remise
Place sur laquelle est construit un bâtiment porté sous art. 1862,,,,,,,Place sur laquelle est construit un bâtiment porté sous art. 1862
Place sur laquelle est construit un bâtiment porté sous art. 2157,,,,,,,Place sur laquelle est construit un bâtiment porté sous art. 2157
Halle aux marchandises,,,,,,,Halle aux marchandises
Place sur laquelle est construit un bâtiment porté sous art. 999,,,,,,,Place sur laquelle est construit un bâtiment porté sous art. 999
Bois soit place,Bois soit place,,,,,,
"Place, canal",,,,,,,"Place, canal"
Place sur laquelle existe un droit de passage en faveur de no. 182,,,,,,,Place sur laquelle existe un droit de passage en faveur de no. 182
Caves,,,,,,,Caves
"Réduit, terrasse dessus",,,,,,,"Réduit, terrasse dessus"
"Caveau, passage",,,,,,,"Caveau, passage"
"Atelier, terrasse dessus",,,,,,,"Atelier, terrasse dessus"
Place (terrasse),,,,,,,Place (terrasse)
Maison d'habitation,,,,,,,Maison d'habitation
Magasin à bois,,,,,,,Magasin à bois
Collège St-Roch,,,,,,,Collège St-Roch
Hangar,,,,,,,Hangar
"Cave, chambre à farine avec terrasse dessus de 0a.34; la terrasse est porté sous art. 1451",,,,,,,"Cave, chambre à farine avec terrasse dessus de 0a.34; la terrasse est porté sous art. 1451"
"Bûcher, terrasse dessus",,,,,,,"Bûcher, terrasse dessus"
"Maison d'habitation, café",,,,,,,"Maison d'habitation, café"
"1/3 indéterminine d'une place indivise de 0a.27 en totalité, les autres parts sont sous art. 1836, 2816",,,,,,,"1/3 indéterminine d'une place indivise de 0a.27 en totalité, les autres parts sont sous art. 1836, 2816"
Atelier (pré dessus),,,Atelier (pré dessus),,,,
Atelier (terrasse dessus),,,,,,,Atelier (terrasse dessus)
"Logement, magasin",,,,,,,"Logement, magasin"
Pré (talus),,,Pré (talus),,,,
"Logement, écurie",,,,,,,"Logement, écurie"
Bosquet (bois),,Bosquet (bois),,,,,
"Bosquet, bois",,"Bosquet, bois",,,,,
Ecurie,,,,,,,Ecurie
"Bûcher, caveau",,,,,,,"Bûcher, caveau"
Bosquets,,Bosquets,,,,,
Chaudière à vapeur (place dessus),,,,,,,Chaudière à vapeur (place dessus)
Cuisines,,,,,,,Cuisines
Champ,,,,Champ,,,
"Bois, bosquets","Bois, bosquets",,,,,,
Puits,,,,,,,Puits
"Serre, bûcher",,,,,,"Serre, bûcher",
"Chambre à resserrer, bûcher",,,,,,,"Chambre à resserrer, bûcher"
Pavillon,,,,,,,Pavillon
Serre,,,,,,Serre,
Voie ferrée (place),,,,,,,Voie ferrée (place)
Cabinet de vigne,,,,,Cabinet de vigne,,
(Parc) pré,,,(Parc) pré,,,,
"3/6 indéterminés d'une place soit chemin indivis de 1a.80c en totalité, les autres parts sont portées sous art. 503, 2236",,,,,,,"3/6 indéterminés d'une place soit chemin indivis de 1a.80c en totalité, les autres parts sont portées sous art. 503, 2236"
Jardin (parc),,,,,,Jardin (parc),
"Cave, terrasse",,,,,,,"Cave, terrasse"
"Logements, écurie",,,,,,,"Logements, écurie"
Place soit terrasse,,,,,,,Place soit terrasse
Pré soit terrasse,,,Pré soit terrasse,,,,
"Pré, bosquets, terrasse",,,"Pré, bosquets, terrasse",,,,
Pré (parc),,,Pré (parc),,,,
Cimetière (place),,,,,,,Cimetière (place)
"Maison d'habitation, pressoir",,,,,,,"Maison d'habitation, pressoir"
