ID,SHAPE_LEN,QUALITE_TX,QUALITE,SHAPE_AREA,GENRE_TXT,GENRE,source,macro_ev,area_m2
3826969.0,306.987923233534,MO93,0.0,1576.4682035,jardin,12.0,jardin.shp,jardin,1576.4682035017825
3827240.0,27.7835317039614,MO93,0.0,30.923425,jardin,12.0,jardin.shp,jardin,30.923424999309518
3843933.0,1429.51354753833,MO93,0.0,8294.198596,jardin,12.0,jardin.shp,jardin,8294.198596008582
3843521.0,256.448678218559,MO93,0.0,913.5982595,jardin,12.0,jardin.shp,jardin,913.5982594990253
3839079.0,57.1699502113204,MO93,0.0,64.557201,jardin,12.0,jardin.shp,jardin,64.55720100003391
3835787.0,29.590989087387,MO93,0.0,30.51205,jardin,12.0,jardin.shp,jardin,30.51205000062106
3843712.0,41.0905521288547,MO93,0.0,93.88225,jardin,12.0,jardin.shp,jardin,93.882249998159
3843520.0,28.7502890404579,MO93,0.0,48.497615,jardin,12.0,jardin.shp,jardin,48.49761499997413
3843931.0,95.2802314912759,MO93,0.0,117.607985,jardin,12.0,jardin.shp,jardin,117.60798500181069
3843932.0,62.3124544721311,MO93,0.0,125.3443145,jardin,12.0,jardin.shp,jardin,125.34431450087901
44584552.0,224.932075510971,MO93,0.0,2644.769791,jardin,12.0,jardin.shp,jardin,2644.769790996164
44584555.0,140.439283752669,MO93,0.0,1240.053419,jardin,12.0,jardin.shp,jardin,1240.0534189963641
44583944.0,51.1868669297588,MO93,0.0,85.9952155,jardin,12.0,jardin.shp,jardin,85.99521549960266
44583982.0,81.3667575677409,MO93,0.0,213.83493,jardin,12.0,jardin.shp,jardin,213.834930003582
44584556.0,83.7935878746394,MO93,0.0,246.1843755,jardin,12.0,jardin.shp,jardin,246.1843754991392
44584554.0,159.018904382502,MO93,0.0,719.631449,jardin,12.0,jardin.shp,jardin,719.6314490012572
44584553.0,83.8851646309397,MO93,0.0,298.0770675,jardin,12.0,jardin.shp,jardin,298.0770675007105
44584550.0,153.511367119648,MO93,0.0,822.691886,jardin,12.0,jardin.shp,jardin,822.6918859950234
44584549.0,113.111422199276,MO93,0.0,613.829685,jardin,12.0,jardin.shp,jardin,613.8296849988296
44584615.0,89.8098965301301,MO93,0.0,598.973802,jardin,12.0,jardin.shp,jardin,598.9738019998002
44585212.0,26.1857827188044,MO93,0.0,27.2375075,jardin,12.0,jardin.shp,jardin,27.23750749855949
98070633.0,29.2364955011327,MO93,0.0,29.7549445,jardin,12.0,jardin.shp,jardin,29.75494449938017
44583943.0,52.7419852681956,MO93,0.0,121.168821,jardin,12.0,jardin.shp,jardin,121.16882099629868
98069028.0,30.1284400130686,MO93,0.0,17.6785855,jardin,12.0,jardin.shp,jardin,17.678585500097988
44584612.0,105.369628311171,MO93,0.0,115.774621,jardin,12.0,jardin.shp,jardin,115.77462100385773
44584565.0,133.283490699025,MO93,0.0,782.469481,jardin,12.0,jardin.shp,jardin,782.4694809941249
98069027.0,192.607681347338,MO93,0.0,598.4059645,jardin,12.0,jardin.shp,jardin,598.4059645069108
44584472.0,815.713127013384,MO93,0.0,9058.6650765,jardin,12.0,jardin.shp,jardin,9058.665076490408
44584470.0,457.785439995917,MO93,0.0,4509.303106,jardin,12.0,jardin.shp,jardin,4509.303105995824
44584558.0,741.757068291953,MO93,0.0,7783.005126,jardin,12.0,jardin.shp,jardin,7783.005126007955
3849803.0,34.2373091244454,MO93,0.0,55.390055,jardin,12.0,jardin.shp,jardin,55.390054998477154
3843930.0,110.895023127756,MO93,0.0,519.534465,jardin,12.0,jardin.shp,jardin,519.5344649982155
