year,merge_id,class,area_m2,area_ha
1721,,jardin,31.40377883529569,0.003140377883529569
1721,,pre,1594.1257930867516,0.15941257930867517
1721,,jardin,431.42297582961527,0.04314229758296153
1721,,jardin,670.6988737334661,0.06706988737334661
1721,,jardin,46.05780195245478,0.004605780195245478
1721,,jardin,132.3512551426836,0.013235125514268361
1721,,jardin,291.5766076468963,0.029157660764689633
1721,,jardin,68.2773998176632,0.0068277399817663195
1721,,jardin,28.456466067150714,0.0028456466067150713
1721,,champ,3880.847899139125,0.3880847899139125
1721,,champ,1068.8768985619972,0.10688768985619972
1721,,champ,351.0711206816334,0.03510711206816334
1721,,vigne,4049.8392670465455,0.40498392670465455
1721,,vigne,4349.147478980179,0.4349147478980179
1721,,vigne,2285.1516923213953,0.22851516923213952
1721,,vigne,830.0020600626168,0.08300020600626168
1721,,champ,5561.453231851959,0.5561453231851958
1721,,vigne,2990.2234639253056,0.29902234639253056
1721,,vigne,1814.5132135259707,0.18145132135259706
1721,,vigne,2777.3836440502123,0.27773836440502125
1721,,champ,2831.4145761025125,0.2831414576102512
1721,,vigne,2092.1570769274354,0.20921570769274353
1721,,vigne,2408.475464325376,0.24084754643253758
1721,,vigne,4445.6329739337725,0.44456329739337724
1721,,vigne,2759.239456713028,0.2759239456713028
1721,,vigne,2189.1531578182667,0.21891531578182666
1721,,vigne,2383.9924367437184,0.23839924367437185
1721,,vigne,2164.658811468482,0.2164658811468482
1721,,vigne,1044.774506520169,0.10447745065201691
1721,,vigne,2517.921201774067,0.2517921201774067
1721,,vigne,7023.277414324342,0.7023277414324343
1721,,vigne,3392.9782398354196,0.33929782398354197
1721,,vigne,2251.597473508676,0.2251597473508676
1721,,vigne,3409.3387899654604,0.34093387899654604
1721,,vigne,2456.8015328278157,0.24568015328278156
1721,,vigne,862.2288796349129,0.08622288796349128
1721,,vigne,1669.3803390963708,0.16693803390963707
1721,,vigne,1505.0311762564795,0.15050311762564794
1721,,vigne,1927.2913978283525,0.19272913978283526
1721,,vigne,2383.1558176706153,0.23831558176706152
1721,,vigne,1634.8698036288283,0.16348698036288284
1721,,vigne,1542.4001601607338,0.15424001601607337
1721,,vigne,1502.1959672605515,0.15021959672605514
1721,,vigne,4212.934618508469,0.4212934618508469
1721,,champ,7667.404357856141,0.7667404357856141
1721,,pre,3210.246697582671,0.3210246697582671
1721,,vigne,5227.776754941926,0.5227776754941926
1721,,vigne,3935.5721668126994,0.3935572166812699
1721,,vigne,3213.151624744462,0.3213151624744462
1721,,vigne,283.1955454683409,0.028319554546834092
1721,,vigne,2893.6153465396574,0.28936153465396575
1721,,vigne,4866.3605209898205,0.48663605209898203
